idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,fx1_S,fx0d5_S,fx1d5_S,fx2d5_S,fx3_S,fx5_S,fx7_S,fx1_T,fx0d5_T,fx1d5_T,fx2d5_T,fx3_T,fx5_T,fx7_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
322.0,2.4936967961464798,0.0074807717282655405,0.00733910068244191,0.00219726204163912,0.0358167748523283,0.0403119574686307,0.0138168451198374,2.47844372504634,0.00717952208702359,0.0075100222030605,0.00198849380799773,0.007400312826002859,0.0420599685674829,0.013577367864441001,2.5213809612558298,0.00817235093292392,0.00802259959807588,0.00236257830245957,0.0360705521706599,0.0430513658270083,0.0153797313083781,50.0,49.32,303.0,0.29,1.88129770406921,1.87180941735204,1.9103228248010902,0.0,2.0
820.0,3.1027508477430294,0.0217401757174748,0.0124915706315196,0.00397840244527523,0.0877727070445988,0.0493147377754687,0.0164332773211519,3.0515978896882796,0.0230693658506863,0.0142401826631577,0.00320592268359853,0.0141749631111597,0.0434695723665049,0.0145408214900794,3.0899175595359303,0.0244372710178651,0.012737339435883998,0.00462997912538335,0.0824280878567203,0.0570831423076199,0.0172570333184769,45.0,43.93,358.0,0.5,2.6929498256736704,2.67787157270718,2.74482460999449,0.0,5.0
1126.0,3.6540223029205,0.006612717077166871,0.00523713813182109,0.00267369084206513,0.0919259478855705,0.0578555614235342,0.0234853552151005,3.2311284229566097,0.0043165320256231795,0.00435072826601934,0.0028397317201183897,0.06717207950933901,0.0626331511638182,0.0251055186785607,3.28340780465119,0.0112946546847876,0.00356186786003925,0.0036922268055997205,0.0669769312104819,0.0514780255952496,0.0216005364675005,55.0,54.01,341.0,0.41,2.67638836894204,2.3731207602400497,2.3976843638277097,0.0,6.0
395.0,3.3346388059257,0.00903902944374861,0.00526143087028107,0.00284513742129995,0.0812236989602925,0.0706438839454908,0.0255985506114576,3.30298542261492,0.0135907200527715,0.0073518061118304,0.0027588510433887397,0.0165837953760823,0.0662046136418055,0.0214626996341858,3.41918501614672,0.0111521230938076,0.00726413984721522,0.00288149790861483,0.0802125001737416,0.0793243186238412,0.021549345845479,57.5,56.57,359.0,0.45,2.66883255763162,2.6480325832717697,2.7396024057097996,0.0,2.0
1143.0,1.5981873334749401,0.00548332017004197,0.00769108266493142,0.00247803365830563,0.0293541394702217,0.0330273931670099,0.0142890755958388,1.43623149201294,0.00758325913756728,0.009150353322048891,0.0019069165163763699,0.0228397391306969,0.0356114313980863,0.0159081176242138,1.37990739574485,0.0061152276784557395,0.00741748196265255,0.00299744870782245,0.00492653979811186,0.0300073642481918,0.013908939547828,55.0,54.35,248.0,0.18,1.5969077709266102,1.43491051491108,1.39642416054681,0.0,6.0
792.0,3.4842583212216,0.0080087586476913,0.00518877676178882,0.002534351270453,0.0443135348692174,0.0722141293504199,0.0247018920283069,3.11952729296233,0.0118045816214359,0.0044911358025656895,0.00320774007724376,0.0163765607915237,0.0756305271736046,0.0229961923734342,3.39548865304603,0.008819916278241809,0.00494327079879772,0.0032324679144277698,0.0609305399450712,0.0685460076933272,0.0225617298287808,60.0,58.88,345.0,0.37,2.61840796652173,2.3437881535784,2.54425635280464,0.0,4.0
217.0,1.0,0.005247787064251329,0.00560709889752265,0.0010389452478388199,0.0232942960061514,0.0230327178472757,0.00692045259574454,1.0,0.00531911770539566,0.00568331349129772,0.0010530671300217,0.0236109241484104,0.0233457904836512,0.00701451897355667,1.0,0.00514217396656686,0.0054942545544995605,0.00101803620091954,0.022825492159983994,0.0225691783304927,0.00678117666341985,60.0,59.22,341.0,0.35,2.3516295802911698,2.3220748292703997,2.4057269787292,0.0,1.0
875.0,3.3680979742995096,0.0111158192235129,0.00510726614612578,0.00230392879054011,0.0539010636647781,0.0491781582336619,0.0227259242049545,3.3140945006082796,0.0126528287938418,0.0048124324624932895,0.00296319274549111,0.00998509355401079,0.0527982734403364,0.0210548466399546,3.41980635559506,0.0112589241991956,0.00405543916460325,0.00296939907552317,0.0499281387494503,0.05760857596716099,0.0208375678996704,50.0,49.08,348.0,0.43,2.50168389299014,2.4689306229276897,2.55037589040291,0.0,5.0
222.0,1.0,0.007361187628350859,0.00617361270756833,0.000895376620742485,0.0255153298325487,0.0167297274673962,0.00773220404963282,1.0,0.007450387154480491,0.00624842174054313,0.000906226387697233,0.0258245130031201,0.0169324507014329,0.00782589938413408,1.0,0.0071858421267151,0.00602655556519306,0.000874048504867223,0.0249075477008097,0.0163312207857159,0.00754802083541734,60.0,59.27,334.0,0.32,2.23630155201789,2.2044676903613,2.2794677851201604,0.0,1.0
902.0,2.42491091712525,0.016914680620939,0.0165244237504748,0.00226430813603455,0.0652945628805098,0.0548378713548531,0.0245174912052078,2.41094465435582,0.0285070314438739,0.0163564284990735,0.0031524201918325303,0.00855291311973105,0.0502476219461017,0.0230037501461783,2.52316282137827,0.0246203661942448,0.0180444791532124,0.004780931324961229,0.064350694852311,0.0651592629259842,0.0213192295500611,52.5,51.54,351.0,0.44,2.52675406982753,2.50255669620863,2.57735769776551,0.0,5.0
470.0,1.93652526575475,0.013596005475275,0.00683625538073785,0.00285751718495165,0.038197496864296,0.0389167719789022,0.0136935879357151,1.84091898015278,0.0121892284117786,0.00729690801896306,0.0037601725888265296,0.0109052304480625,0.0312918629976475,0.0107742841492986,1.92043450486851,0.015184817815931999,0.00718073365887282,0.00295476916217266,0.0396626377970327,0.0327499756442446,0.0122163899177006,45.0,44.15,319.0,0.33,2.13963754041013,2.03394005734277,2.1468678514251502,0.0,3.0
943.0,1.66516382009135,0.00506405488488331,0.0170840962144363,0.00181374166578783,0.00891334388226603,0.0233006698585004,0.0131596699205082,1.6596065776749798,0.007705005868464921,0.0168303787784842,0.0012511504298035301,0.00368322251178585,0.0244344291123501,0.0114584233065462,1.6648645471894101,0.00654555486928477,0.0156851899987659,0.0017692372142376301,0.00891290809810961,0.0210542887184248,0.0124979217545178,55.0,54.47,244.0,0.16,1.3927037699376499,1.39027731442224,1.3931365597051697,0.0,5.0
837.0,1.42862905372613,0.00470492730831441,0.0107963301227758,0.0014377486476001302,0.00677272055165753,0.0215338373570804,0.010783902586764,1.41469285982337,0.00382575239225684,0.0116305919200643,0.0026597996488401,0.00266903820932252,0.0215977717616269,0.0101099256721901,1.40498254988478,0.00426923758537254,0.0079752200539376,0.0022180880081513104,0.00881959378768196,0.0215929496570505,0.0100153210651436,45.0,44.44,242.0,0.17,1.3849526847318798,1.3848768391705701,1.3914877693711,0.0,5.0
760.0,1.8512848421649297,0.00354364326124236,0.0067787876300349,0.00246301324907237,0.0248436368056914,0.0406982801193959,0.017928301982734998,1.61630831618844,0.004840860778136061,0.0100018112159571,0.0022678097710263603,0.00496444397167098,0.0445403843188772,0.0171904643979742,1.72313804009073,0.00558540978707305,0.0115177999160467,0.0030549696327816104,0.0302561039972899,0.037336154547935,0.0164025984095811,55.0,54.14,290.0,0.23,1.9135503291608402,1.69118283625595,1.80775418961127,0.0,4.0
224.0,1.0,0.00585532077834693,0.0043305096385958105,0.0006762862221323861,0.0213281604939363,0.0178340329129774,0.00674821717449208,1.0,0.00594671840704614,0.00439810598848161,0.0006868425963029401,0.0216610787690325,0.0181124102009336,0.00685355231684272,1.0,0.0057614774943402,0.0042611045178018395,0.000665447376163759,0.0209863338548263,0.0175482066911542,0.00664006343111617,60.0,59.29,328.0,0.31,2.16548890765246,2.13425088327645,2.20311391672399,0.0,1.0
750.0,2.49867657914619,0.00798204834003687,0.007933984536775001,0.0032909462153236,0.0521655592861389,0.0585421346611322,0.0233027236572129,2.2134285893660297,0.0119167782162805,0.00508492405890614,0.00302784463662868,0.0172237189846521,0.0639449832459602,0.0240715741416597,2.4115132192891,0.0152855359941748,0.00481019089649132,0.00251555902228306,0.0704228931836125,0.0561117507049666,0.0237409674901266,55.0,53.94,336.0,0.35,2.44383256658237,2.1939103144181398,2.3809846062288598,0.0,4.0
829.0,2.99954563365425,0.00623298725403996,0.00292588978908324,0.0029408526690112803,0.061116088688024005,0.0456034422438807,0.0173667657267507,2.9821589306959106,0.00929858808136011,0.0039685029385297605,0.0019221248138464,0.0105229954134564,0.0399600837808267,0.0153617713936841,3.04583703240698,0.00972242725736943,0.00505047565571615,0.00197703743571212,0.0618627743389069,0.0521889313667172,0.017314669001716,45.0,44.2,325.0,0.35,2.13638169358848,2.1250300570146496,2.1716915782451798,0.0,5.0
664.0,3.6606060224836896,0.0125355517190337,0.0101101029738567,0.004018492385039821,0.0669495482129961,0.0509097573497818,0.0247109930382409,3.28058370628913,0.0167867838480632,0.00943105565266372,0.0032441780276734698,0.0131588419790465,0.0556625090134338,0.0202348811592554,3.56037651811516,0.0161690698595678,0.00905251467986481,0.00218546958488552,0.08401568316204598,0.0569651614003777,0.0223522263700817,47.5,46.3,344.0,0.41,2.61024684707736,2.34277738013391,2.5390495083631603,0.0,4.0
351.0,2.31081109198451,0.00774878819600065,0.0066545590237680205,0.00167837797680231,0.0264271178262412,0.0371283255494519,0.0155978092735125,2.3009301193429303,0.00870443266872983,0.00711113974812161,0.00187626781164302,0.005589263309302921,0.0381394913056765,0.0147253619354834,2.33320734161649,0.00915480124896821,0.00620086176496014,0.00166464127674871,0.0263632492697354,0.0368521910103859,0.0158683205266835,52.5,51.9,279.0,0.22,1.6454190798924,1.64117120709592,1.66282488741045,0.0,2.0
716.0,2.23661499864316,0.0031549264873330604,0.007168593189436809,0.0018742045187977198,0.0113756135807129,0.0259711911529595,0.0151449558416716,1.9895238965785,0.0038558137637409,0.00887143826442885,0.00152393383782825,0.00286748035730713,0.0277674395325667,0.0130153020076408,2.09753769789574,0.00861607079691667,0.00996370785079929,0.00229857856466325,0.0134053850165179,0.0256976550467721,0.0133456230049887,50.0,49.21,256.0,0.19,1.6345454274102602,1.4588964442117198,1.5342743950661102,0.0,4.0
654.0,2.29103972944166,0.006019842450710171,0.00475464594254885,0.00149913077579538,0.0139773079201284,0.0294263977968797,0.0133639412872593,2.0602058785074098,0.00435118647371675,0.005090579915572361,0.00149247868816749,0.0033345110899891,0.0300823954410833,0.0116579879749266,2.18331678772301,0.00904603317038709,0.007163716484515259,0.00217363450501849,0.0153251179169148,0.0264054533630102,0.0131397415333404,45.0,44.18,269.0,0.21,1.73282490377337,1.55821459370857,1.6427711892890702,0.0,4.0
576.0,2.91413854079487,0.00491335541802093,0.00441372926009666,0.0034601413560652397,0.0541693245529173,0.0557721813991581,0.0183429125249911,2.74196174545559,0.006318507645820429,0.00536290088067815,0.00241051032944876,0.00435205286622309,0.0614710915352525,0.0165542370975132,2.9091615028057096,0.00695583897828773,0.00426120983387743,0.00222656441292904,0.0584058186650853,0.0592169248543281,0.0179864059482236,55.0,54.62,329.0,0.33,2.2571889483336203,2.1202184304297,2.24369260958165,0.0,3.0
