,0,1,2,3,4,5,6
0,99.6,0.0,0.0,0.4,0.0,0.0,0.0
1,0.0,57.14,11.33,0.0,19.21,11.33,0.99
2,0.0,11.17,64.25,0.56,6.7,17.32,0.0
3,1.64,0.0,0.0,86.34,0.0,0.55,11.48
4,1.13,35.03,7.91,0.0,41.81,14.12,0.0
5,0.0,8.65,13.94,0.48,3.37,73.08,0.48
6,0.0,0.79,1.57,19.69,0.0,0.79,77.17
